"","season","temperature_difference","flow","flow_difference","lunar_phase","resid","hatchery_day","hatchery_night","AICc","deltaAICc"
"86",0.0288909715953263,-0.0383096001993033,NA,NA,-0.00925080879105165,NA,0.0315227686555474,0.0191854615418854,5439.78582980067,304.747077568445
"37",0.0231776217172117,NA,-0.0163287264726933,NA,NA,NA,0.0382773021572752,0.0222436836143402,5440.07463723995,305.035885007725
"56",0.0292209109430528,-0.0385760017702818,NA,NA,NA,NA,0.0327550463654735,0.0187117754485468,5440.23864263636,305.199890404133
"46",0.0442266121575223,NA,NA,NA,-0.00867006877955711,0.0211383147304252,NA,NA,5441.9710709137,306.932318681473
"21",0.0446405974578968,NA,NA,NA,NA,0.0215371561145294,NA,NA,5442.19416992902,307.155417696795
"66",0.0422977450977563,NA,-0.0083344024168354,NA,-0.00855482228251305,0.02047131020253,NA,NA,5442.33708439345,307.298332161223
"36",0.0426682848102942,NA,-0.00853308920619022,NA,NA,0.020826595075743,NA,NA,5442.53444338845,307.495691156229
"47",0.0279187412405135,NA,NA,NA,-0.00917766096338775,NA,0.030898092765556,0.0194644069282706,5443.58199700702,308.543244774797
"92",NA,-0.0413823579760998,NA,NA,-0.00940110661958122,0.0319354433583057,0.064068691941597,0.0562844045086957,5443.69667088664,308.657918654414
"62",NA,-0.0418340797000112,NA,NA,NA,0.0324603454970365,0.0651875750055045,0.0562442419617306,5443.90648055493,308.867728322701
"22",0.0282796831764445,NA,NA,NA,NA,NA,0.0322622897327743,0.0189883672303898,5444.09875236246,309.060000130235
"64",0.035513415212064,-0.0434562398647645,-0.011909281473492,NA,-0.00891346849882955,NA,NA,NA,5444.77718283778,309.738430605558
"70",NA,-0.0444792617869922,-0.0272674712533434,NA,-0.00951635326043096,NA,0.0533750827434854,0.0381541768153023,5444.91474125526,309.875989023032
"34",0.0357311261040154,-0.0437652802023395,-0.0121252017444363,NA,NA,NA,NA,NA,5445.0889513275,310.050199095278
"40",NA,-0.0449181405061144,-0.0275533357614164,NA,NA,NA,0.0548949960220824,0.0378756798114118,5445.38398657487,310.345234342649
"44",0.0378379160712517,-0.0400565816263487,NA,NA,-0.00908425772495433,NA,NA,NA,5446.00729799881,310.968545766589
"19",0.038079502959256,-0.0402584867701447,NA,NA,NA,NA,NA,NA,5446.38078383509,311.342031602861
"53",NA,NA,NA,NA,-0.00940905773617792,0.0298632751512712,0.0620261607287828,0.055328752974992,5448.20041525537,313.161663023145
"28",NA,NA,NA,NA,NA,0.030348945967309,0.0632185374578375,0.0552894318633086,5448.54162101683,313.50286878461
"29",0.0349629334665376,NA,-0.00956927027543335,NA,-0.00884747220896939,NA,NA,NA,5450.09330411098,315.054551878759
"14",0.0369103314646148,NA,NA,NA,-0.00899324503529749,NA,NA,NA,5450.2962697942,315.257517561974
"9",0.0352248559246803,NA,-0.0097097269201835,NA,NA,NA,NA,NA,5450.49196894452,315.453216712293
"33",NA,NA,-0.0244395062877673,NA,-0.00952902096501233,NA,0.0509899010690188,0.0379365974380485,5450.53167585096,315.492923618735
"3",0.0371846412864506,NA,NA,NA,NA,NA,NA,NA,5450.73258880287,315.693836570645
"13",NA,NA,-0.0246719278334713,NA,NA,NA,0.0526943762938908,0.0376638006532894,5451.1394621457,316.100709913476
"50",NA,-0.0373734018978671,NA,NA,-0.00986247383940646,NA,0.0479475791292011,0.0380559547258358,5458.65514565613,323.616393423908
"25",NA,-0.037687966160703,NA,NA,NA,NA,0.0491729676881041,0.0377494980219612,5459.1015040868,324.062751854572
"18",NA,NA,NA,NA,-0.00982599938184839,NA,0.0470104488788839,0.0379368840054963,5462.03860291855,326.999850686327
"7",NA,NA,NA,NA,NA,NA,0.0483593890227667,0.0376611581689713,5462.562775797,327.524023564777
"30",NA,-0.0476144648620911,-0.021991876221819,NA,-0.00933942093036747,NA,NA,NA,5481.75968726465,346.72093503243
"10",NA,-0.0480305495556923,-0.0222288123482386,NA,NA,NA,NA,NA,5481.83557294012,346.796820707894
"39",NA,-0.0496390839015103,-0.0226070741088835,NA,NA,0.00578423809214152,NA,NA,5483.25344187416,348.214689641932
"69",NA,-0.0490256320824567,-0.0223209598322354,NA,-0.00922084343418473,0.00537566801666634,NA,NA,5483.26375376344,348.225001531216
"8",NA,NA,-0.0189432882309183,NA,-0.00937635633359479,NA,NA,NA,5488.17148587292,353.132733640697
"1",NA,NA,-0.0191304526540308,NA,NA,NA,NA,NA,5488.37764433342,353.338892101197
"15",NA,-0.0416614671041455,NA,NA,-0.00964674918733135,NA,NA,NA,5488.83201506665,353.793262834424
"4",NA,-0.0419868395360386,NA,NA,NA,NA,NA,NA,5488.95378908654,353.915036854316
"32",NA,NA,-0.0190754331416451,NA,-0.00930328422059978,0.00308924240101957,NA,NA,5490.04452217864,355.005769946412
"12",NA,NA,-0.0192664633391805,NA,NA,0.00345232474019593,NA,NA,5490.2004887819,355.161736549676
"49",NA,-0.0428801360848879,NA,NA,-0.00957399222354012,0.00496441008080974,NA,NA,5490.4476302671,355.408878034875
"24",NA,-0.0432556555337158,NA,NA,NA,0.00538977890515105,NA,NA,5490.49110317589,355.452350943663
"2",NA,NA,NA,NA,-0.00963804471698007,NA,NA,NA,5493.34091392181,358.302161689581
"17",NA,NA,NA,NA,-0.00957877982748805,0.00291861560559072,NA,NA,5495.24467397551,360.205921743281
"6",NA,NA,NA,NA,NA,0.00329207211694686,NA,NA,5495.40801063916,360.369258406933
